screen_name,text
AfD,"Das Jahr ist ganze sieben Tage alt:
Ein mutmaßlicher #Sprengstoffanschlag auf ein Abgeordnetenbüro, #Gewaltdrohungen auf Indymedia und ein Bundestagsabgeordneter der um sein Leben ringt.
Aber die #AfD ist das Problem??? Wacht auf und erkennt die wahren Feinde unserer Demokratie! https://t.co/6w05INudYM"
AfD,"Auch jenseits von #Relotius-Praktiken bietet sich der Presse ein großes Repertoire an Methoden, falsch zu berichten. Sich Dummzustellen zählt auch dazu ... https://t.co/qy21MSowHA"
AfD,"++ Wenn der Vater #AfD wählt... ++
 
Journalist spaltet die eigene Familie, weil sein Vater eine regierungskritische Partei gewählt hat. So vergiften Medien und  Altparteien die Gesellschaft und die Demokratie. DDR 2.0!
 
https://t.co/4f7MkQx307 https://t.co/W3p5rEMy2Y"
AfD,"Liebe Mitbürger,
bitte hören &amp; schauen Sie sich ganz genau an, welch hasserfüllte &amp; primitive Gestalten für die SPD im #Bundestag sitzen: Johannes @Kahrs ist heute wahrlich nicht zum 1. Mal durch unfassbare Verunglimpfungen aufgefallen. 
#AfD #Generaldebatte #LtwHessen #LtwBayern https://t.co/jE5Ssbfjfw"
AfD,"+++ Warum ich mich auf die #LtwBayern freue! +++
Die Regierung ist konzeptlos, Seehofer und Merkel liegen im Streit und CSU und CDU sind innerhalb der Union gespalten.🍿
#AfD #LtwBY #Bundestag @AfD_Bayern
https://t.co/TxyrJdJAVb"
AfD,"+++ Impressionen vom Tag der Ein- &amp; Ausblicke +++
Zahlreiche Besucher fanden sich bei der #AfD-#Bundestagsfraktion ein, um den Vorträgen unserer Abgeordneten zuzuhören und Fragen zu stellen. Auch die Kleinsten hatten bei Kinderschminken, Slush-Eis oder Zuckerwatte ihren Spaß ;-) https://t.co/Wdqc1djSVE"
AfD,Aufruf zum Wählen gehen mit dezenter Schleichwerbung 😉💙 #afd #LtwHe #LtwHessen #LtwHe2018 #Landtagswahl #Hessen #Heimat https://t.co/xykI6B1X7l
CDU,Volker #Bouffier: Wir wollen dieses Land in die Zukunft führen. Eine gute Zukunft geschieht mit der CDU. Deshalb mit der Erst- und Zweitstimme @cdu_hessen wählen. #starkesHessen #ltwhe18 #ltwhessen
CDU,@_A_K_K_ bei der Kampagnenakademie der CDU Sachsen-Anhalt in Neugattersleben. #Zuhörtour #cdu @cdu https://t.co/Mqc3yMawaX
CDU,"#CDUklausur2019 #Potsdam : Wir schauen in das Superwahljahr 2019 mit zahlreichen Kommunal-, Landtagswahlen + der Europawahl. Profil stärken, Themen des Alltags im Blick haben, keine Probleme lösen wollen, die die Bevölkerung gar nicht hat + Positionen verständlich rüberbringen 🎯"
